DATE,BAMLCC0A1AAATRIV
2019-01-02,627.66
2019-01-03,632.13
2019-01-04,627.19
2019-01-07,627.73
2019-01-08,627.43
2019-01-09,627.35
2019-01-10,626.55
2019-01-11,627.91
2019-01-14,626.22
2019-01-15,626.15
2019-01-16,626.60
2019-01-17,627.21
2019-01-18,627.88
2019-01-21,628.06
2019-01-22,631.34
2019-01-23,631.77
2019-01-24,634.28
2019-01-25,633.06
2019-01-28,633.74
2019-01-29,634.98
2019-01-30,635.00
2019-01-31,639.44
2019-02-01,637.83
2019-02-04,637.09
2019-02-05,638.95
2019-02-06,639.24
2019-02-07,641.03
2019-02-08,641.46
2019-02-11,640.82
2019-02-12,639.42
2019-02-13,638.99
2019-02-14,640.17
2019-02-15,640.14
2019-02-18,640.31
2019-02-19,640.50
2019-02-20,639.87
2019-02-21,636.78
2019-02-22,638.49
2019-02-25,638.26
2019-02-26,639.71
2019-02-27,635.69
2019-02-28,635.39
2019-03-01,633.99
2019-03-04,635.56
2019-03-05,635.73
2019-03-06,636.74
2019-03-07,639.57
2019-03-08,639.93
2019-03-11,638.73
2019-03-12,642.03
2019-03-13,641.26
2019-03-14,639.55
2019-03-15,641.65
2019-03-18,642.27
2019-03-19,641.09
2019-03-20,644.82
2019-03-21,645.98
2019-03-22,651.51
2019-03-25,653.27
2019-03-26,654.44
2019-03-27,656.75
2019-03-28,656.55
2019-03-29,655.96
2019-03-31,656.02
2019-04-01,651.63
2019-04-02,652.32
2019-04-03,650.18
2019-04-04,650.85
2019-04-05,651.72
2019-04-08,651.03
2019-04-09,652.41
2019-04-10,653.72
2019-04-11,651.84
2019-04-12,649.79
2019-04-15,651.49
2019-04-16,649.25
2019-04-17,649.15
2019-04-18,651.47
2019-04-19,.
2019-04-22,648.75
2019-04-23,650.08
2019-04-24,652.96
2019-04-25,652.36
2019-04-26,654.05
2019-04-29,651.61
2019-04-30,652.87
2019-05-01,653.63
2019-05-02,650.28
2019-05-03,651.36
2019-05-06,652.76
2019-05-07,655.09
2019-05-08,653.03
2019-05-09,653.11
2019-05-10,653.06
2019-05-13,654.23
2019-05-14,653.79
2019-05-15,656.49
2019-05-16,655.77
2019-05-17,656.96
2019-05-20,655.99
2019-05-21,655.05
2019-05-22,656.72
2019-05-23,661.70
2019-05-24,660.19
2019-05-27,660.37
2019-05-28,663.57
2019-05-29,664.60
2019-05-30,666.79
2019-05-31,671.05
2019-06-03,673.45
2019-06-04,670.23
2019-06-05,668.75
2019-06-06,669.82
2019-06-07,674.19
2019-06-10,671.63
2019-06-11,672.35
2019-06-12,672.44
2019-06-13,674.49
2019-06-14,674.92
2019-06-17,676.30
2019-06-18,679.09
2019-06-19,680.89
2019-06-20,683.95
2019-06-21,681.58
2019-06-24,685.04
2019-06-25,682.18
2019-06-26,682.72
2019-06-27,686.92
2019-06-28,687.75
2019-06-30,687.87
2019-07-01,686.79
2019-07-02,690.08
2019-07-03,692.52
2019-07-04,692.58
2019-07-05,686.42
2019-07-08,687.84
2019-07-09,686.18
2019-07-10,685.14
2019-07-11,680.79
2019-07-12,681.84
2019-07-15,683.01
2019-07-16,681.55
2019-07-17,685.82
2019-07-18,686.55
2019-07-19,686.49
2019-07-22,687.10
