,Unnamed: 0,Date,XOM-Price,XOM-Yield,TSLA-Price,TSLA-Yield,LLY-Price,LLY-Yield,AAPL-Price,AAPL-Yield,NVDA-Price,NVDA-Yield,JPM-Price,JPM-Yield,AMZN-Price,AMZN-Yield,V-Price,V-Yield,UNH-Price,UNH-Yield,Govt_Yield,XOM-spread,TSLA-spread,LLY-spread,AAPL-spread,NVDA-spread,JPM-spread,AMZN-spread,V-spread,UNH-spread,V-%K,V-%D,JPM-%K,JPM-%D,LLY-%K,LLY-%D,XOM-%K,XOM-%D,NVDA-%K,NVDA-%D,AMZN-%K,AMZN-%D,AAPL-%K,AAPL-%D,UNH-%K,UNH-%D,TSLA-%K,TSLA-%D
0,0,2019-01-02,96.727,3.299,69.879,11.403,96.732,3.32,100.954,3.253,95.504,3.881,98.867,4.1,102.784,3.278,98.797,3.345,101.817,3.437,2.633,0.6659999999999999,8.77,0.6869999999999998,0.6200000000000001,1.2479999999999998,1.4669999999999996,0.645,0.7120000000000002,0.8039999999999998,,,,,,,,,,,,,,,,,,
1,1,2019-01-03,97.207,3.212,70.389,11.27,96.941,3.283,101.039,3.236,95.815,3.833,99.009,4.071,103.001,3.238,99.021,3.309,102.382,3.34,2.552,0.6600000000000001,8.718,0.7309999999999999,0.6840000000000002,1.281,1.5189999999999997,0.6859999999999999,0.7570000000000001,0.7879999999999998,,,,,,,,,,,,,,,,,,
2,2,2019-01-04,96.661,3.312,71.51,10.967,96.669,3.332,100.57,3.332,95.113,3.942,98.79,4.115,102.475,3.335,98.436,3.405,101.808,3.438,2.668,0.6439999999999997,8.299,0.6639999999999997,0.6639999999999997,1.274,1.447,0.6669999999999998,0.7369999999999997,0.77,,,,,,,,,,,,,,,,,,
3,3,2019-01-07,96.522,3.338,73.343,10.482,96.387,3.383,100.582,3.329,95.148,3.937,98.887,4.096,102.412,3.346,98.496,3.395,101.729,3.451,2.698,0.6400000000000001,7.783999999999999,0.685,0.6310000000000002,1.239,1.398,0.6480000000000001,0.6970000000000001,0.7530000000000001,,,,,,,,,,,,,,,,,,
4,4,2019-01-08,96.228,3.393,74.65,10.145,96.293,3.4,100.506,3.345,95.093,3.946,98.915,4.091,102.23,3.38,98.337,3.421,101.715,3.454,2.73,0.6629999999999998,7.414999999999999,0.6699999999999999,0.6150000000000002,1.2160000000000002,1.3610000000000002,0.6499999999999999,0.6909999999999998,0.7240000000000002,,,,,,,,,,,,,,,,,,
5,5,2019-01-09,96.453,3.351,76.726,9.623,96.55,3.354,100.76,3.292,95.135,3.94,99.199,4.034,102.567,3.317,98.796,3.346,101.945,3.414,2.712,0.6389999999999998,6.911,0.6419999999999999,0.5799999999999996,1.2279999999999998,1.3219999999999996,0.605,0.6339999999999999,0.702,,,,,,,,,,,,,,,,,,
6,6,2019-01-10,96.651,3.316,77.49,9.44,96.395,3.383,100.739,3.297,95.15,3.938,99.041,4.066,102.538,3.322,98.713,3.36,101.878,3.425,2.746,0.5699999999999998,6.693999999999999,0.637,0.5510000000000002,1.1920000000000002,1.3199999999999998,0.5760000000000001,0.6139999999999999,0.6789999999999998,,,,,,,,,,,,,,,,,,
7,7,2019-01-11,96.949,3.261,77.911,9.339,96.655,3.336,100.869,3.27,95.342,3.908,99.247,4.024,102.703,3.291,99.0,3.313,102.074,3.392,2.699,0.5620000000000003,6.640000000000001,0.637,0.5710000000000002,1.209,1.3250000000000002,0.5920000000000001,0.6140000000000003,0.6930000000000001,,,,,,,,,,,,,,,,,,
8,8,2019-01-14,96.877,3.274,77.507,9.439,96.64,3.339,100.896,3.264,95.555,3.875,99.27,4.02,102.758,3.28,99.002,3.312,102.011,3.402,2.706,0.5680000000000001,6.7330000000000005,0.633,0.5579999999999998,1.169,1.3139999999999996,0.5739999999999998,0.6059999999999999,0.6960000000000002,,,,,,,,,,,,,,,,,,
9,9,2019-01-15,96.937,3.263,76.994,9.568,96.6,3.347,100.983,3.246,95.184,3.934,99.182,4.038,102.79,3.274,98.986,3.315,101.977,3.408,2.718,0.5449999999999999,6.85,0.629,0.528,1.2160000000000002,1.3200000000000005,0.556,0.597,0.69,,,,,,,,,,,,,,,,,,
